//
///////////////////////////////////////////EXTRASUNNY_LA 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
               0 0 0              0 0 0        255 255 255            4 26 33            3 21 21          255 128 0              5 0 0               0.95               0.95               0.25                200                100                  0             400.00             100.00               0.95            30 20 0              3 3 3       85 85 65 240       127 87 87 87     127 60 121 122                  0                 90                  0               1.00
// 5 AM
            22 22 22        194 194 142        255 255 255            7 21 33            0 23 22          255 128 0          255 128 0              -0.05               0.95               0.15                150                100                  0             400.00             100.00               0.95            35 9 10           27 30 36     53 104 104 240       127 80 80 80     127 60 190 190                  0                 90                  0               1.00
// 6 AM
            22 22 22        210 194 182        255 255 255         90 205 255         200 144 85          255 128 0          255 128 0               8.35               0.95               0.25                140                 93                  0             800.00             100.00               0.75          100 34 25          120 92 88     90 170 170 240       127 86 86 86       127 149 94 0                 25                120                  0               1.00
// 7 AM
               5 0 0        210 194 182        255 255 255        107 206 232        162 162 162        255 255 255        255 255 255               2.15               0.95               0.25                100                 50                 75             800.00             100.00               0.45          120 40 40        159 142 106    145 170 170 240     111 133 106 70       127 96 61 15                 25                180                  0               1.00
// Midday
              11 0 0        210 194 182        255 255 255         88 166 226        142 142 142        255 255 255        255 255 255               1.05               0.95              -0.05                236                  0                190             800.00              10.00              -0.05           44 34 23        145 164 183     72 129 129 240       127 66 66 48     127 166 129 60                 25                180                  0               1.00
// 7 PM
               8 5 5        255 255 182        255 255 255         31 113 153          119 94 59           222 88 0           122 55 0               3.85               0.95              -0.05                110                 40                 75             800.00              10.00               0.75          120 40 40         200 123 96       50 97 97 240    106 124 124 107       127 86 50 10                 25                180                  0               1.00
// 8 PM
            25 14 14        210 194 182        255 255 255         48 123 180         144 111 76          255 128 0          255 128 0               1.95               0.95               0.35                100                 60                  0             800.00              10.00               0.95          120 40 40         72 107 159       67 67 67 240       127 91 88 54        127 66 27 0                 25                140                  0               1.00
// 10 PM
               0 0 0              0 0 0        255 255 255             4 7 18           10 10 15          255 128 0              5 8 0               0.95               0.95               0.25                160                100                  0             600.00              10.00               0.95           70 27 10           15 11 34       67 67 62 240     127 209 143 84        127 76 51 0                 25                 90                  0               1.00
//
///////////////////////////////////////////SUNNY_LA 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
               0 0 0              0 0 0        255 255 255           15 15 15           18 20 18          255 128 0              5 0 0               0.95               0.35               0.35                200                100                  0             800.00             100.00               0.95              0 0 0              3 3 3       85 85 65 240    127 110 126 210       212 0 81 104                 55                220                  0               1.00
// 5 AM
               0 0 0              0 0 0        255 255 255           19 39 37           52 42 31          255 128 0          255 128 0              -0.05               0.25               0.75                150                100                  0             800.00             100.00               0.95              0 0 0           14 15 18       25 51 52 240    127 102 132 227        162 4 85 95                 90                220                  0               1.00
// 6 AM
             22 17 8        210 194 182        255 255 255         90 205 255         200 144 85          255 128 0          255 128 0               1.15               0.45               0.15                140                 93                  0             800.00             100.00               0.75          100 34 25          120 92 88     90 170 170 240       127 86 86 86       127 149 94 0                177                220                  0               1.00
// 7 AM
              12 4 0        210 194 182        255 255 255         81 160 187        167 167 167          255 128 0          255 128 0               2.15               0.95              -0.05                211                  0                149             800.00             100.00               0.45          120 40 40        164 164 163    145 170 170 240     127 58 110 115      121 123 70 14                177                220                  0               1.00
// Midday
             12 10 0        210 194 182        255 255 255         66 125 185        136 136 136          189 175 0          168 98 14               1.65               0.95              -0.05                236                  0                190             800.00             100.00              -0.05           44 34 23        129 128 123     90 170 170 240     120 70 121 120      127 160 88 21                 88                220                  0               1.00
// 7 PM
             16 10 0        210 194 182        255 255 255          42 85 116         135 109 59         200 150 59          255 128 0               7.45               0.95              -0.05                110                 40                 75             800.00             100.00               0.75          128 92 54        155 155 155       50 97 97 240     106 90 123 113      127 114 61 10                 88                220                  0               1.00
// 8 PM
             12 10 4        210 194 182        255 255 255          30 93 131         161 150 83          255 128 0          255 128 0               1.95               0.95               0.15                100                 60                  0             800.00              43.00               0.95              0 0 0          163 83 63       67 67 67 240      127 129 93 71        127 66 27 0                177                220                  0               1.00
// 10 PM
            22 20 10        210 194 182        255 255 255          59 95 134           86 68 64          255 128 0              5 8 0               0.95               0.35               0.35                160                100                  0             800.00              41.00               0.95           70 27 10           55 55 55       67 67 62 240        127 129 0 0       127 66 106 0                111                 60                  0               1.00
//
///////////////////////////////////////////EXTRASUNNY_SMOG_LA 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
            33 33 33        249 244 235        255 255 255           19 14 19             6 6 17          255 128 0              5 0 0               0.95               0.25               0.85                200                102                  0             800.00             100.00               0.95            30 20 0              3 3 3       85 85 65 240      127 50 61 114       127 14 46 55                 25                 80                  0               1.00
// 5 AM
            22 33 33        210 194 182        255 255 255           16 16 22           15 15 20          255 128 0          255 128 0              -0.05               0.25               0.85                150                100                  0             800.00              50.00               0.95            35 9 10           27 30 36     53 104 104 240      127 93 90 114       127 34 40 30                 25                 80                  0               1.00
// 6 AM
            20 16 16        210 194 182        255 255 255         90 205 255         200 144 85          255 128 0          255 128 0               8.35               0.15               0.35                140                 93                  0             800.00              50.00               0.75          100 34 25          120 92 88     90 170 170 240       127 86 86 86       127 149 94 0                 25                120                  0               1.00
// 7 AM
              11 7 1        210 194 182        255 255 255         90 205 255        114 148 166          255 128 0          255 128 0               1.15               0.15               0.75                100                 50                 75             800.00              10.00               0.45          120 40 40        159 142 106    145 170 170 240     127 106 107 84       127 96 61 15                 25                120                  0               1.00
// Midday
              14 7 2        210 194 182        255 255 255         90 147 255        129 148 182          255 128 0          255 128 0               0.95               0.15               0.25                236                  0                190             800.00              10.00              -0.05           44 34 23        145 164 183     90 170 170 240       127 82 80 43      127 125 94 40                 25                 50                  0               1.00
// 7 PM
             10 10 5        210 194 182        255 255 255         93 127 157         90 144 182          198 128 0          255 128 0               7.45               0.25               0.95                110                 40                103             800.00              10.00               0.75          120 40 40         200 123 96       50 97 97 240      106 124 93 67       127 86 50 10                 25                150                  0               1.00
// 8 PM
              10 5 5        210 194 182        255 255 255         28 113 141         167 118 65          255 128 0          255 128 0               1.95               0.25               0.95                100                 60                  0             800.00              10.00               0.95          120 40 40         72 107 159       67 67 67 240     127 121 102 80        127 44 24 0                 25                150                  0               1.00
// 10 PM
            22 12 15        255 222 222        255 255 255           29 78 96         167 118 65          255 128 0              5 8 0               0.95               0.25               0.25                160                100                  0             800.00              10.00               0.95           70 27 10           15 11 34       67 67 62 240    127 124 124 124        127 44 24 0                 25                 80                  0               1.00
//
///////////////////////////////////////////SUNNY_SMOG_LA 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
            33 33 33        210 188 166        255 255 255            20 8 12           23 23 26          255 128 0              5 0 0               0.95               0.35               0.55                200                100                  0             800.00             155.00               0.95              0 0 0              3 3 3       85 85 65 240       127 57 87 87       127 21 27 88                122                 90                  0               1.00
// 5 AM
            33 33 33        210 194 182        255 255 255           15 15 16           14 14 20          255 128 0          255 128 0              -0.05               0.35               0.95                150                100                  0             800.00             155.00               0.95            35 9 10           27 30 36     53 104 104 240      127 50 78 114       127 34 40 30                122                 90                  0               1.00
// 6 AM
            33 33 33        210 194 182        255 255 255         90 205 255         200 144 85          255 128 0          255 128 0               8.35               0.25               0.85                140                 93                  0             800.00             100.00               0.75          100 34 25          120 92 88     90 170 170 240       127 86 86 86       127 149 94 0                122                120                  0               1.00
// 7 AM
             20 11 5        210 194 182        255 255 255         90 205 255        222 204 200          255 128 0          255 128 0               1.15               0.15               0.05                236                 50                 75             800.00             100.00               0.45          120 40 40        159 142 106    145 170 170 240    127 106 106 106       127 96 61 15                122                180                  0               1.00
// Midday
              15 7 0        210 194 182        255 255 255         79 140 243        145 143 143          255 128 0          255 128 0               2.45               0.95               0.05                236                  0                190             800.00              80.00              -0.05           44 34 23        145 164 183     90 170 170 240    127 127 123 110       127 99 74 10                122                180                  0               1.00
// 7 PM
             15 11 0        210 194 182        255 255 255        109 142 157          138 90 56           255 55 0        255 255 255               4.25               0.25               0.35                222                 40                 75             800.00              10.00               0.75          120 40 40         200 123 96       50 97 97 240    106 124 124 107       127 86 50 10                122                180                  0               1.00
// 8 PM
              15 5 0        210 194 182        255 255 255         79 156 162         167 118 65          255 128 0          255 128 0               1.95               0.25               0.65                100                 60                  0             800.00              10.00               0.95          120 40 40         72 107 159       67 67 67 240      127 121 93 71        127 44 24 0                122                120                  0               1.00
// 10 PM
            33 12 12        210 194 182        255 255 255          48 82 101          106 71 50          255 128 0              5 8 0               0.95               0.25               0.55                160                100                  0             800.00              10.00               0.95           70 27 10           15 11 34       67 67 62 240     127 117 124 83        127 66 27 0                122                 90                  0               1.00
//
///////////////////////////////////////////CLOUDY_LA 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
            10 30 30        157 176 208        255 255 255           10 10 10           10 23 33            10 10 0             10 0 0               0.95               0.95               0.15                200                100                  0             700.00              79.00               0.95            30 20 0           23 28 30       55 55 66 240    127 124 124 124       127 45 49 32                155                 51                  0               1.00
// 5 AM
            10 24 27        160 171 202        255 255 255           10 10 10           10 22 33            10 10 0             10 0 0               0.95               0.95               0.05                200                100                  0             700.00             -22.00               0.95           70 27 10           23 28 30       55 55 66 240       127 80 85 91     127 98 120 120                155                100                  0               1.00
// 6 AM
            16 31 31        163 187 192        255 255 255           22 22 22           15 25 27              0 0 0              0 0 0               3.35               0.85               0.05                200                100                  0             700.00              90.00               0.75          100 34 25           23 28 30       77 77 88 240       127 63 80 80     127 122 122 90                155                180                  0               1.00
// 7 AM
            22 22 22        190 176 169        255 255 255        125 145 151        125 145 151              0 0 0              0 0 0              -0.05               0.65               0.05                 80                 50                  0             700.00             -22.00               0.45          120 40 40         92 116 125       77 77 88 240    127 124 124 124       127 45 28 12                155                180                  0               1.00
// Midday
